intensity,readability,perplexity,lex_diversity,word_count,bleu
3,-15.05,656.1507568359375,0.5249537892791127,541,
4,13.11,462.7261962890625,0.4827586206896552,580,
5,-46.11,709.9317626953125,0.39059080962800874,914,
1,30.06,413.18316650390625,0.7233009708737864,412,
2,-10.38,647.0610961914062,0.7228915662650602,332,
3,-3.0,716.3936157226562,0.5865051903114187,578,
4,8.51,693.9602661132812,0.7742782152230971,381,
5,47.32,330.41162109375,0.7395833333333334,288,
1,14.49,41.912845611572266,0.6648501362397821,367,
2,-11.13,504.9501037597656,0.6240409207161125,391,
3,2.11,294.9474182128906,0.7296037296037297,429,
4,11.66,283.5639343261719,0.6544943820224719,356,
5,-83.15,702.243896484375,0.71875,288,
1,9.29,239.9224395751953,0.703125,320,
2,-76.94,884.7659301757812,0.5810185185185185,432,
3,-67.63,752.8062744140625,0.5682182985553772,623,
4,-18.98,469.5567626953125,0.6460674157303371,356,
5,-27.68,558.3782348632812,0.844,250,
1,-6.39,392.19769287109375,0.6532567049808429,522,
2,0.18,488.9747314453125,0.578838174273859,482,
3,-23.67,207.77491760253906,0.2041210560206053,1553,
4,-33.36,553.5932006835938,0.6064981949458483,554,
5,15.68,162.8263397216797,0.6573426573426573,429,
1,36.63,326.44281005859375,0.7531645569620253,316,
2,32.33,454.7191162109375,0.6462765957446809,376,
3,-6.62,1163.689697265625,0.6478190630048465,619,
4,13.52,648.9007568359375,0.512621359223301,515,
5,-39.0,602.0279541015625,0.6178660049627791,403,
1,3.5,370.88006591796875,0.4452423698384201,557,
2,8.81,541.3641357421875,0.5207373271889401,434,
3,-17.15,491.4691467285156,0.631578947368421,380,
4,29.82,54.718040466308594,0.5516304347826086,368,
5,33.82,258.83245849609375,0.43568945538818077,863,
1,1.81,268.069580078125,0.7052631578947368,285,
2,-2.43,339.7650146484375,0.5767634854771784,482,
3,22.55,62.243221282958984,0.6414473684210527,304,
4,-44.19,470.3421936035156,0.5447042640990372,727,
5,41.9,18.886024475097656,0.5884057971014492,345,
1,13.21,1033.9296875,0.6962962962962963,405,
2,15.83,489.9778747558594,0.1819267515923567,2512,
3,-5.38,1104.16064453125,0.6721311475409836,305,
4,6.81,735.570556640625,0.6828571428571428,350,
5,-34.47,709.9970703125,0.476280834914611,527,
1,-6.29,363.62286376953125,0.7407407407407407,216,
2,47.01,126.55648040771484,0.5650118203309693,423,
3,-12.96,276.670166015625,0.6104513064133017,421,
4,33.44,47.450016021728516,0.6222910216718266,323,
5,11.89,273.5822448730469,0.6862745098039216,306,
1,-41.43,849.9425048828125,0.30755395683453235,1668,
2,-9.64,178.0956268310547,0.6366120218579235,366,
3,-10.46,121.36480712890625,0.7873303167420814,221,
4,-31.3,424.0249328613281,0.7396907216494846,388,
5,-40.96,811.7171630859375,0.20807926829268292,1312,
1,8.13,241.546142578125,0.675564681724846,487,
2,-152.89,808.8013305664062,0.4875886524822695,564,
3,3.77,305.49090576171875,0.6071428571428571,504,
4,-7.51,623.2415161132812,0.769811320754717,265,
5,22.24,33.3101921081543,0.625,336,
1,64.14,24.004579544067383,0.5761772853185596,361,
2,50.7,51.47382354736328,0.6505681818181818,352,
3,54.05,65.40605926513672,0.625974025974026,385,
4,66.3,252.18016052246094,0.5448113207547169,424,
5,11.96,202.0708770751953,0.5496031746031746,504,
1,-26.96,566.5250854492188,0.7435897435897436,390,
2,-15.22,400.3507385253906,0.5792988313856428,599,
3,31.62,251.3782958984375,0.6612529002320185,431,
4,28.1,183.58389282226562,0.7220447284345048,313,
5,12.53,38.39187240600586,0.5837696335078534,382,
1,-36.33,535.7042236328125,0.25344180225281604,1598,
2,13.65,532.2384033203125,0.6911764705882353,408,
